PersonID,Role,TypeOfRecording,Timestamp,ToolCall,Condition
4,System,TextCompletion,25.11.2024 14:03:34,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:03:34,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:03:45,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:03:45,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:03:50,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:04:32,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:04:32,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:04:33,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:33,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:35,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:04:47,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:04:47,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:04:49,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:49,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:50,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:04:55,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:04:57,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:57,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:04:59,null,ECA + Audio
4,System,TextCompletion,25.11.2024 14:05:17,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:05:18,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:05:18,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:05:20,null,ECA + Audio
4,User,Recording,25.11.2024 14:05:27,null,ECA + Audio
4,User,STT,25.11.2024 14:05:29,null,ECA + Audio
4,User,TextCompletion,25.11.2024 14:05:33,null,ECA + Audio
4,Tool,TextCompletion,25.11.2024 14:05:35,null,ECA + Audio
4,Answer,TextCompletion,25.11.2024 14:05:38,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:05:38,null,ECA + Audio
4,Assistant,TTS,25.11.2024 14:05:39,null,ECA + Audio
4,User,Recording,25.11.2024 14:05:48,null,ECA + Audio
4,User,STT,25.11.2024 14:05:50,null,ECA + Audio
4,User,TextCompletion,25.11.2024 14:05:54,null,ECA + Audio
4,Tool,TextCompletion,25.11.2024 14:05:56,null,ECA + Audio
